 nodes				 score
    58				6.347617
  5958				6.344529
  4414				6.319031
   333				6.313768
  1905				6.310305
   107				6.306488
  1181				6.272096
    51				6.197850
  4931				6.190271
    43				6.176175
  6871				6.169370
  6653				6.160210
    65				6.146950
  3505				6.124052
  3281				6.116548
  2025				6.057400
   664				6.047296
  8648				6.033128
  1411				6.014235
   138				5.998492
    50				5.991497
   588				5.984776
  1438				5.975854
  1129				5.973370
  8363				5.965159
  5952				5.921376
    93				5.918863
   165				5.910736
   100				5.910541
   429				5.906364
   225				5.904243
   421				5.896474
   233				5.885441
  4565				5.882828
  1914				5.856083
  3284				5.843430
   728				5.834589
   576				5.826747
  4037				5.764057
   368				5.762201
  1751				5.753256
  1312				5.746257
  2228				5.731775
   440				5.720321
  1108				5.707907
   446				5.700403
  2239				5.694387
   453				5.676681
  1892				5.675239
    24				5.668724
  2063				5.635093
    46				5.610714
  1392				5.610351
   973				5.599418
   141				5.576127
  2464				5.547032
    78				5.545484
    10				5.542726
  2656				5.528323
   394				5.514747
   681				5.511818
    54				5.492269
   382				5.490245
  2144				5.468368
  5144				5.448568
 22933				5.433758
   697				5.431626
    22				5.413419
  3420				5.399227
   719				5.398745
  1521				5.383669
  1185				5.379704
  1429				5.328018
    33				5.317418
    92				5.303270
   195				5.293254
  2008				5.257754
    79				5.220616
   369				5.181897
  9412				5.177211
   730				5.174305
    55				5.154676
    63				5.147320
   888				5.145439
 18955				5.127643
  2062				5.113646
  2218				5.096474
    37				5.071457
   117				5.067909
  4162				5.039669
   296				5.026629
  1255				5.005959
  5199				5.005660
   420				5.000301
    45				4.931054
   634				4.920615
  2042				4.896561
  1747				4.888877
  1315				4.885587
  5934				4.879577
  2059				4.857137
    13				4.848012
  1256				4.842888
  4120				4.836062
   375				4.822560
  3502				4.816155
   408				4.815073
    85				4.806494
    14				4.787083
  5386				4.766750
  6509				4.743674
   289				4.736859
     6				4.736798
  2956				4.726061
    53				4.716431
  1476				4.700246
  4045				4.695696
  2650				4.686484
  2757				4.676902
  1323				4.672450
     5				4.665821
   122				4.655772
  2444				4.645225
    68				4.628854
  1207				4.628590
  4558				4.625093
  1580				4.622944
   729				4.615216
   783				4.610097
  4862				4.609494
 71383				4.602791
  5250				4.601214
   789				4.598090
    20				4.594906
  1400				4.579672
  2864				4.575507
  2065				4.572224
   319				4.571746
   383				4.559901
   427				4.554404
  2461				4.539442
    71				4.537288
  2318				4.522432
   786				4.487938
  3174				4.477742
     2				4.471548
    67				4.469190
  2636				4.462442
  1776				4.459245
   534				4.457605
    97				4.456696
   645				4.429053
  4046				4.414449
  2244				4.409113
  2255				4.406819
  4096				4.381653
  1472				4.373575
   997				4.363874
   410				4.362608
  1309				4.359278
   112				4.355273
   320				4.341018
   766				4.332491
   411				4.314458
    26				4.312014
   556				4.307034
    73				4.298445
   140				4.263121
   684				4.249575
  2030				4.248193
   409				4.247290
  2113				4.245746
  2032				4.239711
    88				4.190584
  3321				4.190119
   299				4.162821
  1434				4.157378
   846				4.153652
   686				4.150905
   452				4.130400
  2052				4.116320
   853				4.113840
  4055				4.110672
  3723				4.106590
   105				4.100834
  2115				4.099492
   724				4.098963
  2896				4.095081
   340				4.088886
  2035				4.086461
  4454				4.085418
   745				4.045686
  2229				4.035970
  3410				4.024680
  2861				4.018512
  7608				4.015908
  3540				4.015043
  1622				4.006138
  2373				4.003540
  2714				3.997927
  1895				3.995032
  3280				3.992086
  1911				3.991665
 11240				3.975540
  2248				3.962522
  2710				3.954775
   432				3.947143
  4076				3.941562
   414				3.931958
  2037				3.922394
   370				3.915750
  1642				3.910677
  1763				3.882327
  2424				3.878734
   235				3.862200
  3277				3.860435
  1893				3.839505
 14552				3.836293
  3264				3.822239
  1037				3.821490
    39				3.814695
   548				3.814137
   223				3.810770
  3899				3.806965
   415				3.803126
  3276				3.789432
  1629				3.783193
   969				3.770093
  3684				3.761990
  4123				3.761084
   116				3.757958
  2685				3.751354
  2644				3.749290
  2110				3.747909
   557				3.745353
  1254				3.741299
  4170				3.736057
  7806				3.735815
  2049				3.721138
   852				3.719078
  3428				3.698519
  2232				3.684636
   413				3.656994
   637				3.656292
   390				3.655693
  1004				3.644705
   994				3.640915
   547				3.632232
   699				3.624152
   779				3.622246
   436				3.609656
   172				3.598794
   913				3.577929
   685				3.576070
  2694				3.572288
  6175				3.562060
   349				3.561526
  2241				3.560762
  3687				3.555979
  2217				3.555618
  1817				3.546901
 71382				3.545995
   123				3.534316
   350				3.531991
   110				3.530826
  2637				3.521343
   360				3.503148
   111				3.501276
  1714				3.500959
  4451				3.499011
  2371				3.491536
  2034				3.489086
    89				3.479656
   354				3.478336
    76				3.475521
 11744				3.474367
   983				3.472831
  9256				3.471824
   696				3.468586
  1437				3.456638
  6864				3.448487
  1397				3.434982
   763				3.429623
  2635				3.425806
  3138				3.412491
   115				3.412445
  2174				3.406207
  6865				3.396754
   976				3.394563
   845				3.391195
  5933				3.390431
   989				3.384424
  4411				3.379955
  4187				3.367147
   782				3.363758
  5142				3.358354
  1896				3.356752
 10498				3.349347
  2040				3.346782
   972				3.343515
   751				3.343272
  2047				3.340116
  7301				3.330648
   917				3.329234
  2230				3.328094
  1899				3.324073
  4354				3.323997
  7253				3.322387
     4				3.308058
  1259				3.303212
  1206				3.298698
  5117				3.296850
  2201				3.296472
   665				3.289726
  3841				3.281409
   315				3.280309
  6561				3.277705
  1778				3.268403
  5104				3.265863
  2696				3.264057
  4231				3.257317
  1167				3.248641
  1406				3.246617
   335				3.239142
  4168				3.238061
   120				3.224708
  1171				3.219150
   198				3.215522
  4041				3.213752
  2899				3.206497
  2027				3.205300
  2561				3.199559
   847				3.199305
  3065				3.197390
  4115				3.190840
  2511				3.188682
  2033				3.177433
  2639				3.175661
   318				3.169540
  2995				3.161369
  5208				3.155176
  1912				3.151676
  1902				3.149140
  2775				3.147675
 21938				3.144698
    11				3.141597
 22906				3.140638
   108				3.136837
  7251				3.133278
   407				3.130004
  2821				3.129267
  1748				3.123798
   916				3.121325
  2061				3.118600
  2871				3.115349
  3014				3.112205
  1813				3.109927
  1906				3.108283
  4118				3.106090
   345				3.106075
   565				3.105875
  1224				3.077148
  1436				3.066019
  2231				3.060684
  1412				3.056581
  4039				3.039039
  3718				3.036109
   851				3.028922
    38				3.007056
    87				2.992272
   133				2.991752
  4061				2.991684
  1016				2.986461
  4423				2.986339
  2303				2.983604
  6633				2.971477
  5972				2.962460
  1305				2.955279
  1898				2.953153
  1174				2.947740
  3499				2.945640
  2865				2.943270
  4040				2.943028
   721				2.933741
  2630				2.933736
  1283				2.931261
   237				2.927425
  5205				2.919187
  3703				2.905055
  2867				2.898137
   400				2.894746
  1618				2.892853
  2222				2.871587
   155				2.869063
  1036				2.864701
  3275				2.857935
  2446				2.856465
  6420				2.853034
  2800				2.846755
  4342				2.844921
  9479				2.840408
  6990				2.838709
   113				2.838100
  1011				2.834642
  2046				2.833213
  5953				2.826745
  5414				2.822658
  2640				2.822407
  9397				2.820108
  3717				2.815414
  4567				2.811708
  7250				2.802193
   998				2.794271
  1407				2.792499
  3255				2.789667
  2043				2.785980
  1013				2.782010
  1572				2.778098
   445				2.769964
  5032				2.768312
  1027				2.766245
   979				2.765594
  5131				2.755137
  8740				2.744893
   428				2.744251
  7928				2.741023
   109				2.737151
  1276				2.736763
  2651				2.724202
  7579				2.709982
  3285				2.700418
  2498				2.699361
   442				2.698649
  4946				2.692107
   590				2.689679
   545				2.685027
   802				2.684006
  5177				2.675078
  3062				2.669619
  1615				2.665079
    32				2.651586
  2067				2.646256
  3892				2.645541
  2029				2.638125
   552				2.633671
  1647				2.633380
  1741				2.633231
  1002				2.631245
  1439				2.625501
  2435				2.617670
 10703				2.605124
   137				2.604151
  2060				2.599486
  3306				2.597535
   597				2.597497
   282				2.595542
   376				2.592440
   683				2.570468
  3783				2.570418
  4984				2.566780
  3984				2.558952
  1272				2.556786
  2234				2.556665
   132				2.551278
    75				2.543011
  5206				2.542195
  4062				2.542064
   326				2.541415
 22348				2.540611
  1503				2.538021
  4417				2.529148
  1532				2.524575
  7310				2.522440
   119				2.519969
  3659				2.517741
 19665				2.508813
  9862				2.505012
  9845				2.502502
  5829				2.500799
  1904				2.499568
   124				2.499121
   930				2.498822
    25				2.491324
  2169				2.486933
   249				2.484606
  1008				2.480317
  5098				2.471499
  2713				2.467264
  5951				2.466650
  7843				2.465200
  4042				2.460598
  5140				2.453458
   403				2.443299
  1658				2.442073
   650				2.438800
  4010				2.434482
  3462				2.430316
   193				2.420992
 71402				2.420454
  1561				2.419151
  4260				2.417320
   558				2.415767
  2051				2.409569
  5680				2.408575
  8754				2.407086
  6868				2.404333
  2687				2.404101
  6557				2.403753
  1915				2.401583
  9639				2.399266
 14574				2.397715
  5145				2.397223
   386				2.391933
  1314				2.384904
   640				2.381772
   649				2.381014
  4876				2.380359
  5273				2.379466
   405				2.372711
  1483				2.372333
  6562				2.364424
  2560				2.355693
  7248				2.355255
  1182				2.345158
  4955				2.345114
  2647				2.337384
  3431				2.333238
  4761				2.332427
   996				2.332200
  4278				2.331613
  4325				2.330854
 11519				2.328597
  3866				2.326525
  6565				2.326119
   297				2.325471
 23465				2.324763
  3352				2.319807
  2863				2.316422
   769				2.301846
  1857				2.301593
  1558				2.299678
  2487				2.295993
  1192				2.294292
  4521				2.294214
  1900				2.292913
  1435				2.291965
  1005				2.290056
  2249				2.286447
  1346				2.286205
  1460				2.276587
  1901				2.273870
   559				2.272017
  5947				2.269322
  4165				2.263448
  2562				2.263262
  5813				2.261712
   222				2.260546
  4177				2.257480
  1581				2.257471
  3173				2.254682
  8164				2.254655
  1430				2.252826
  1028				2.251638
     8				2.251246
  3510				2.248910
   451				2.248125
  2151				2.246852
  6900				2.242897
   746				2.240581
  4867				2.239494
   281				2.233615
  6171				2.233125
  1176				2.225977
 16281				2.225438
   727				2.224600
  7609				2.222224
  1015				2.221950
  2558				2.219847
  5209				2.217104
  3534				2.214355
  1640				2.211008
  3932				2.207944
  5393				2.206889
  1636				2.201295
  4687				2.201251
  4098				2.196402
   236				2.189862
  1596				2.183060
  9534				2.180594
  3273				2.175655
  4030				2.174539
  2161				2.172046
   826				2.168734
  1018				2.159187
  8217				2.157535
 31613				2.156679
  3979				2.150303
 71403				2.147821
  5941				2.147066
  1433				2.136867
  1890				2.133799
  3092				2.129627
   357				2.127556
  3601				2.126440
  3374				2.124150
  1897				2.122086
 14108				2.121635
  6631				2.117948
  2288				2.116949
  1316				2.111074
 13136				2.110316
  4081				2.109942
  2226				2.106549
  1814				2.100081
   765				2.098899
  2678				2.098550
  2557				2.096804
  6624				2.096566
  7346				2.094463
  2265				2.088463
  1243				2.084874
  2652				2.082144
  2873				2.077059
 14543				2.073959
  1783				2.069155
   310				2.061946
  4619				2.056866
  2146				2.055019
  2147				2.054465
  4163				2.054095
  2744				2.051805
   434				2.051793
  4186				2.051467
  4617				2.050546
  4947				2.048089
  3692				2.045296
  5036				2.042261
 22805				2.040972
  5423				2.039417
  2116				2.036208
   134				2.034854
  1324				2.033619
  1891				2.028522
    23				2.027484
   365				2.025234
 71400				2.017271
  5412				2.016552
  7437				2.013226
   367				2.009645
  1715				2.005625
  1025				1.999805
   286				1.995520
   712				1.995013
  3859				1.993700
 15357				1.992827
  6946				1.990063
  2712				1.987321
  5063				1.983259
  2023				1.980378
   957				1.974756
  4047				1.970793
  1907				1.966387
  1762				1.964462
  3398				1.963379
  1184				1.961075
   716				1.959457
  6636				1.956171
   773				1.951167
  3112				1.949096
   873				1.942142
  2590				1.939914
  5417				1.935608
   644				1.935264
  7040				1.934463
  1035				1.931803
   720				1.929587
  2285				1.928166
  5831				1.922305
  2054				1.919689
   981				1.916315
   139				1.915576
  4183				1.912806
  4069				1.909730
  7511				1.908423
  2219				1.899098
   932				1.893810
   925				1.890336
   693				1.886705
 71388				1.882329
 12573				1.877138
  4950				1.871401
   955				1.871029
  3683				1.871008
  6583				1.870489
  1849				1.868317
  1262				1.868075
   331				1.865190
   927				1.860959
  3457				1.860667
 11224				1.860425
   330				1.858744
  2478				1.857664
  2284				1.856315
  8158				1.851221
 15205				1.849248
    60				1.846154
  4054				1.844628
  5474				1.843944
  2686				1.842818
  6812				1.840435
  1370				1.836393
  9426				1.836391
  1128				1.833863
  9793				1.829559
   824				1.827119
 11092				1.826165
 12551				1.824418
  3181				1.822828
  1032				1.822587
   126				1.821991
   404				1.818828
  2654				1.818136
  4070				1.815734
  4422				1.814517
  2634				1.812543
 33124				1.811971
   417				1.808701
   553				1.805114
 19157				1.805070
  6059				1.804097
  1402				1.803565
  2381				1.801153
   516				1.799699
  2057				1.798644
   579				1.796567
  5630				1.795442
  1106				1.795198
  6431				1.789743
  1655				1.788922
  4357				1.788792
  2638				1.786514
   629				1.784955
  2501				1.776797
  1933				1.773060
  1718				1.773058
  6084				1.772643
  1393				1.769430
  4313				1.766303
  1003				1.764253
  1446				1.761908
  1740				1.759214
  3368				1.758597
  6689				1.755011
  1021				1.753564
    17				1.751195
   980				1.749982
  2451				1.748942
  3107				1.746656
  1885				1.746302
  1166				1.745558
  7505				1.744875
  1520				1.742204
  1507				1.741703
  6168				1.740335
  2991				1.740105
   378				1.738158
  5275				1.737520
  2220				1.736870
 10505				1.736617
  1443				1.735619
   661				1.726933
  3119				1.726252
   794				1.725397
   702				1.724044
   954				1.721833
   384				1.718034
   620				1.717020
   792				1.716039
  2631				1.714976
   909				1.713376
 22359				1.708791
  5968				1.708737
  2386				1.706725
 12604				1.705126
  2817				1.704084
  2036				1.703000
  1533				1.702243
   307				1.701455
   862				1.696682
  3114				1.695607
  1033				1.694751
  3292				1.691407
  2088				1.691102
  1408				1.689625
   300				1.687841
  3182				1.685751
  2084				1.685117
  2984				1.684899
   828				1.679891
  5253				1.677892
  4051				1.675621
   609				1.675585
  1186				1.668295
  4757				1.667975
  7484				1.667379
  3044				1.666502
  8154				1.665729
  1498				1.662112
  1253				1.662075
  4769				1.658599
   238				1.658340
  1761				1.657980
   422				1.656020
  3434				1.652703
   342				1.652441
 22689				1.651897
  3256				1.649832
  1263				1.649432
   678				1.648149
  6320				1.647954
 10002				1.646442
  2322				1.644246
  1441				1.643650
  7172				1.641168
  8072				1.640762
   625				1.640492
  2786				1.640102
  1775				1.639452
 26408				1.637827
  2245				1.636270
   652				1.635457
 14476				1.635189
  3503				1.633884
   787				1.632194
  4788				1.631796
  2504				1.614077
   441				1.613808
  6820				1.612965
    57				1.610787
  2197				1.610584
  3901				1.605269
  8652				1.592177
  4338				1.591680
   575				1.590686
  1709				1.588929
  1006				1.586231
  2633				1.585493
  2554				1.585004
  2024				1.581501
 15984				1.578722
  4561				1.577292
  3533				1.575497
   366				1.573835
  4967				1.572978
  9638				1.567656
 11968				1.566429
  8183				1.565357
    98				1.564070
  4122				1.560923
   306				1.559842
   554				1.558663
  3507				1.556982
  6176				1.556464
   191				1.551551
   704				1.551113
   669				1.550988
  1248				1.550673
  6553				1.547477
   437				1.544517
   508				1.543821
  3177				1.543786
  1394				1.543433
  7104				1.542957
  2053				1.540811
   439				1.537361
  1238				1.536479
  5930				1.535071
  8196				1.533244
   942				1.532664
  2513				1.532226
   680				1.531782
  2045				1.531042
  1152				1.530092
  2641				1.530029
  1554				1.528572
  3852				1.525133
 13585				1.519735
  1882				1.519606
  2479				1.516070
   277				1.515230
  1641				1.512832
  7687				1.512812
  3043				1.509398
  2605				1.507285
   419				1.500742
   971				1.500530
  1368				1.499573
  2814				1.499277
   653				1.497399
  5277				1.496221
   106				1.494652
  2064				1.493301
  5227				1.492542
  2904				1.491506
  6169				1.490127
  6810				1.489401
  1030				1.488839
  3282				1.487962
  1296				1.487083
   325				1.486856
 17012				1.486294
 10599				1.485698
  2810				1.484480
  3184				1.483477
  6047				1.480707
 12307				1.480446
  1512				1.479646
  2290				1.479068
  4572				1.476149
  2083				1.475810
   985				1.474172
  5428				1.473579
  3178				1.473217
  2069				1.472908
  2379				1.470575
 11225				1.468631
  6167				1.467880
  5055				1.466989
  5061				1.466399
  3631				1.465562
  2328				1.463899
 13387				1.462958
  2563				1.462027
  2369				1.461359
  3272				1.460472
 16362				1.458644
  6698				1.454979
 18738				1.454376
  4544				1.451822
  1453				1.449841
  2497				1.447023
  3483				1.446386
  1614				1.442533
  4164				1.440944
  2337				1.439473
  6326				1.437859
  4078				1.436921
  1126				1.436396
  1404				1.436269
 11695				1.435142
   564				1.435127
  3666				1.432073
  4202				1.429296
  2548				1.428012
  6870				1.426076
   279				1.425723
  4976				1.425101
  3599				1.424461
  1147				1.424315
 23959				1.424188
   988				1.423908
  1475				1.422588
  4167				1.420872
  5969				1.420149
 33296				1.419393
  2111				1.416263
 22421				1.415384
  5760				1.413764
  1514				1.411688
  1523				1.410904
  2272				1.409544
  2050				1.409033
  1540				1.408763
   624				1.407423
   353				1.404904
  3501				1.404732
  3585				1.404245
  4770				1.403281
  2495				1.402838
   389				1.401582
  3115				1.401501
  8588				1.401154
  2275				1.400851
  4963				1.400436
  4573				1.395960
  5255				1.395715
  3104				1.392465
  2237				1.392192
 71389				1.391824
   154				1.391630
  3580				1.389099
    82				1.387506
  2655				1.387077
  1009				1.386529
 12413				1.386433
  4974				1.386181
 20676				1.384801
  2704				1.381284
 22947				1.379026
  7881				1.378069
  3459				1.377575
  5387				1.374093
  4363				1.373980
  1083				1.373707
  8159				1.373195
  7512				1.372627
  4089				1.371387
  2872				1.371345
  2653				1.369655
  2565				1.369399
   544				1.367006
  1264				1.364145
   987				1.362905
 50607				1.361703
  1069				1.361094
   215				1.360090
  1031				1.358884
  9997				1.357844
 12571				1.357592
  2160				1.356800
  3780				1.355913
    91				1.355801
  2221				1.355651
 50608				1.355069
  3879				1.354920
  2101				1.354372
  1699				1.353718
  3864				1.353396
  6383				1.352957
   938				1.352887
    86				1.350287
  2646				1.349249
 11201				1.346867
  1258				1.346567
  5636				1.343718
  6978				1.342511
   818				1.342468
 19519				1.342315
  4418				1.336948
  2342				1.336808
  2980				1.336295
  3929				1.335128
 15048				1.334318
  4791				1.334204
  2075				1.333860
  5056				1.333460
  4413				1.332041
   159				1.330303
  5215				1.329969
   991				1.329304
  6368				1.320351
  1589				1.318014
  7983				1.317400
  6558				1.317279
    15				1.316607
  3189				1.316031
   632				1.315539
  3350				1.314638
  4080				1.311467
  1218				1.309189
  3721				1.306241
  2195				1.304506
   974				1.302561
  3286				1.300646
  2183				1.299584
  1319				1.297722
 16127				1.297405
  8933				1.296385
   952				1.296207
  1518				1.294964
  2153				1.293826
  2198				1.292962
  3830				1.291903
   450				1.291526
 14559				1.291071
 11766				1.290123
  1674				1.289389
   217				1.288429
  4956				1.287465
  4952				1.286160
  8182				1.285554
  2377				1.282902
  1428				1.282307
  1835				1.282097
  3106				1.281433
  4426				1.280101
  2649				1.279890
  1022				1.278667
   303				1.276590
  1056				1.276323
   156				1.275395
  7314				1.274077
  2893				1.271556
  2455				1.265914
  2335				1.265664
   377				1.262126
 14016				1.261751
  9294				1.260826
  2408				1.260510
   606				1.259745
  7047				1.259267
  2708				1.259262
  3403				1.259215
  3071				1.258243
  4456				1.257706
   283				1.255487
  4259				1.253138
   676				1.253013
  2344				1.251623
 14558				1.250967
  4954				1.250218
  1431				1.248732
  2559				1.247827
  5304				1.244711
  3554				1.241990
  6053				1.241971
  2251				1.241002
  3261				1.239764
  3500				1.238225
 10606				1.238193
   327				1.238076
  7929				1.236750
  1463				1.236085
  9503				1.235827
  1551				1.235780
  1301				1.233968
  6563				1.232884
  3752				1.232766
  2180				1.232494
  6559				1.230133
  3120				1.228313
  7693				1.227929
 16030				1.227255
  5957				1.225316
  5128				1.224985
 11235				1.223016
  1271				1.222668
  3440				1.220644
  2648				1.220326
  6730				1.219426
  5309				1.219335
  2897				1.218795
  4574				1.218761
   732				1.217262
  1779				1.217261
  5818				1.215394
  1648				1.214817
  3033				1.213356
  1863				1.211265
  7932				1.210820
  2690				1.210480
  2933				1.210239
   581				1.209604
  2866				1.209190
 16832				1.208450
  4049				1.208090
  4596				1.205715
  2056				1.205535
   784				1.205348
  9636				1.204519
  4760				1.202431
  2287				1.200627
  2252				1.199935
 53226				1.198113
   167				1.197698
  3527				1.196547
  1649				1.196160
  3875				1.195603
  4252				1.195097
  3836				1.193735
  1646				1.192593
  6285				1.192052
  7254				1.191995
  6860				1.189747
 14580				1.189413
   718				1.187750
  1816				1.187684
  6628				1.186851
 10493				1.185875
  3004				1.184751
  3143				1.184551
  3966				1.184046
 13960				1.183273
  4368				1.182446
   705				1.181452
   444				1.181062
  2602				1.180704
  3266				1.180702
   359				1.180696
 10375				1.177493
  6792				1.176439
 23977				1.176123
 11190				1.175875
  6669				1.175767
    16				1.173510
  5139				1.171737
 22123				1.171619
  5621				1.168099
  5956				1.166200
   454				1.165994
  1170				1.165747
 14548				1.165724
  1717				1.165391
  1501				1.164974
  1766				1.163608
   334				1.162879
  4276				1.160398
  2992				1.160374
  2496				1.159980
  6560				1.159961
 14586				1.158774
  4121				1.158682
  2632				1.156635
  1934				1.156131
  4837				1.155505
   582				1.154962
  6625				1.154961
  3454				1.154931
  4341				1.151844
  3278				1.151288
  4339				1.150708
 43990				1.149731
    36				1.148142
  6014				1.148005
 23672				1.147513
  4124				1.147474
  2156				1.146865
 43647				1.145926
  1120				1.145151
  2316				1.144282
   302				1.141605
  3391				1.141077
  8592				1.140852
  2250				1.140237
  3040				1.138041
  1318				1.137929
  1806				1.137371
   364				1.137075
  2750				1.135568
   707				1.135550
  1145				1.135248
   770				1.134830
 71399				1.134320
  2224				1.133593
  5778				1.132368
   682				1.132351
  5499				1.131904
 11764				1.130941
  2827				1.129697
   372				1.127353
  3985				1.126151
   541				1.124887
 15201				1.124665
  6478				1.122509
  3772				1.122013
  4577				1.121575
  3720				1.121358
 15335				1.120567
 16711				1.117971
  5514				1.117825
   254				1.116666
  4679				1.116443
  4798				1.116145
  3523				1.115326
  4940				1.114040
  2961				1.113940
  2276				1.113751
  1789				1.111670
   145				1.110921
  3514				1.110094
  7796				1.107907
  6040				1.106636
  3520				1.106120
  3155				1.105615
  7429				1.105594
 16571				1.105548
  6668				1.103780
 47799				1.103758
  1656				1.102910
   560				1.099950
  3719				1.099602
   208				1.098536
  5837				1.098492
  4703				1.098316
  2549				1.098159
  1713				1.098066
  3903				1.096433
  4688				1.094296
  2990				1.094199
  3433				1.092214
  1913				1.091867
   911				1.091860
  2031				1.090893
  2082				1.090876
   982				1.090850
 12269				1.090831
  1546				1.089078
  2432				1.088967
 17945				1.088892
  3172				1.086582
  2339				1.086392
  1200				1.085569
  1702				1.085487
   771				1.085250
   646				1.085140
   837				1.084931
 14493				1.083364
  2688				1.083197
  3906				1.082469
  7490				1.081907
  4320				1.080499
  3593				1.078628
  2189				1.078522
   584				1.077786
  7249				1.077169
  1504				1.076954
 10881				1.076708
  5344				1.076020
  2577				1.075084
  5064				1.074696
   656				1.073889
  3549				1.073208
  1250				1.072809
  4620				1.070739
   788				1.069925
  2448				1.068686
  4420				1.067869
  2729				1.067645
   339				1.067255
  4978				1.066639
 21638				1.062175
  3935				1.061266
  6878				1.060857
 14513				1.060521
  1720				1.060235
   203				1.059576
   926				1.057848
  4166				1.057691
 13207				1.057529
  9634				1.057400
  7492				1.057270
 10937				1.055692
  9405				1.053395
  7524				1.052184
  1293				1.050910
  4941				1.050479
  4458				1.048335
  1169				1.048185
  1277				1.048001
 22365				1.046916
   323				1.046898
  5382				1.045849
   239				1.045499
 17691				1.042529
  5232				1.041955
  1519				1.041643
  3827				1.041230
  5216				1.040036
  5444				1.038842
   617				1.038747
  1299				1.038560
  2813				1.037984
 53359				1.036943
 66840				1.036432
  1219				1.032288
  3857				1.031007
  1780				1.030881
  1496				1.030698
  6051				1.030161
  2440				1.029288
  1157				1.028833
  1750				1.028752
  2906				1.027309
  2419				1.026938
  6622				1.026150
   986				1.025102
  5965				1.023810
  6905				1.020074
  1448				1.019824
 10726				1.019743
  2235				1.019307
  9071				1.018486
  3863				1.017336
 58504				1.016721
  5035				1.016606
  4920				1.016205
  7125				1.015691
 28909				1.014824
  3274				1.014450
  3185				1.014054
  6966				1.012711
  2243				1.012496
  1752				1.010352
   142				1.010213
  4340				1.009490
  8379				1.008385
 15347				1.007105
  4327				1.006985
   387				1.004375
  1971				1.001894
  2476				1.001458
  1579				1.001415
  6166				1.001173
  4067				0.997526
  8169				0.994941
 14017				0.994439
  2006				0.992952
 23991				0.992231
  4333				0.991462
  8296				0.991156
  6173				0.990512
 11143				0.989759
 10403				0.989697
   643				0.989533
  6183				0.989447
